N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Reward_std,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_violation,N_goal_reached,N_step_AVG,N_death,N_saved,N_death_by_end,Total_death,N_Total_episodes,N_break,Info_saved
0,4,-1531812290,0.0,0.0,0.0,0.0,nan,1.9320454597473145,0.16468623280525208,0.6201733946800232,0.0,0.0,0,0,0,0,0,0,0,0,0,
10,44,-1531812290,0.0,0.0,0.0,0.0,nan,0.0030844882130622864,2.0425137336133048e-05,-1.1097607739429804e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,
20,84,-1531812290,0.0,0.0,0.0,0.0,nan,0.01135593093931675,4.863522917730734e-09,-3.9045506383672546e-08,0.0,0.0,0,0,0,0,0,0,0,0,0,
30,124,-1531812290,0.0,0.0,0.0,0.0,nan,0.6251959800720215,0.0008951645577326417,0.003931262064725161,0.0,0.0,0,0,0,0,0,0,0,0,0,
40,164,-1531812290,0.0,0.0,0.0,0.0,nan,0.0025047247763723135,3.7002202589064837e-05,-4.781139040233029e-08,0.0,0.0,0,0,0,0,0,0,0,0,0,
50,204,-1531812290,0.0,0.0,0.0,0.0,nan,0.003052325453609228,2.0784176740562543e-05,-1.7379811367845832e-08,0.0,0.0,0,0,0,0,0,0,0,0,0,
60,244,-1531812290,0.0,0.0,0.0,0.0,nan,0.003981625661253929,1.2750243513437454e-05,-2.146110134049195e-08,0.0,0.0,0,0,0,0,0,0,0,0,0,
70,284,-1531812290,0.0,0.0,0.0,0.0,nan,0.006073934957385063,1.8693568563321605e-05,2.74930528121331e-07,0.0,0.0,0,0,0,0,0,0,0,0,0,
80,324,-1531812290,0.0,0.0,0.0,0.0,nan,0.013128440827131271,8.835329936118796e-06,3.310721581328835e-07,0.0,0.0,0,0,0,0,0,0,0,0,0,
90,364,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,0.2987005114555359,1.3876900084142108e-05,4.84722841065377e-06,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
100,404,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,0.6333262920379639,1.951675039890688e-05,-0.00030622974736616015,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
110,444,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,0.38794976472854614,0.00011490618635434657,0.0011131527135148644,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
120,484,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,1.0864309072494507,1.1521008218551287e-06,0.0010215053334832191,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
130,524,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,1.0903247594833374,5.050398613093421e-06,0.002664323663339019,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
140,564,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,1.0685911178588867,6.741167908330681e-07,0.0008713382994756103,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
150,604,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,1.099399447441101,5.641059033223428e-07,-0.0007775900885462761,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
